Pinyin,Mnemonic,,
ma,jar of marmite,,
lu,loo (a toilet),,
shang,the oriental pearl tv tower of shanghai,,
mang,mango,,
mao,mouse animal,,    
mei,maid,,
shen,black sheep standing alone by itself,,
shi,shirt,,
ma,question mark,,
you,yo-yo,,
men,mens toilet sign,,
kou,cocoa powder and mug of cocoa drink,,
fan,n electric fan (blowing air),,
mi,mirror (with the word 'me' showing in the reflection),,
mian,mint,,
bao,bow of a ship,,
tiao,bricklayers trowel,,
ming,mink coat,,
nan,naan bread (indian style bread),,
tian,cup of tea,,
na,nougat,,
chang,massive industrial link chain,,
hen,adult hen chicken,,
fei,fairy woman flying,,
ban,banana,,
bu,big friendly Bedsheet Ghost,,
tai,big necktie,,
qu,cue ball (from billiards),,
chu,individual opened packet of Wrigley's PK Chewing Gum with pellets nearby,,
chū,individual opened packet of Wrigley's PK Chewing Gum with pellets nearby,,
dao,stock chart icon,,
jìn,red bottle of gin,,
li,leaf,,
xie,tus sheep sheers,,
nai,night-vision goggles,,
hai,high-jump bar,,
peng,penguin,,
ren,rain cloud with rain falling from it,,
bian,giant coffee bean,,
niu,newt salamander,,
neng,chicken nuggets from mcdonalds,,
nian,bedside neon lamp where the neon bar is in the shape of a star,,
nu,noodle,,
sheng,Saddle of guitar with strings,,
pang,frying pan,,
lai,cigarette lighter,,
che,cherry,,
qian,persons chin,,
qing,king,,
jia,gigantic jar,,
jie,jet plane,,
shao,shower head,,
gan,paper cocktail umbrella only,,
zhe,big pot bellied german man wearing lederhosen,,
huo,hawke,,
shu,giant shoe,,
du,large extravagant hair-do,,
su,bowl of soup,,
bei,bay leaf,,
fen,big shark fin,,
jiao,jell-o on a plate,,
guan,guava that has been cut in two,,
ke,an elegant massive curtain,,
wen,massive magic wand,,
lou,loaf of bread,,
jue,blade of grass with wings covered in an extremely heavy dew,,
xiang,stereotypical shell made of sand,,
zuo,big zorro mask,,
dian,DNA double helix,,
ci,sieve,,
wang,wagon,,
wu,ball of wool,,
ti,tea bag,,
bing,big bingo card,,
qi,slice of swiss cheese,,
ri,gigantic fishing reel,,
jian,big pair of jeans,,
hou,garden hoe,,
shou,big top circus tent,,
ji,jeep,,
huan,swan,,
xi,sheet of paper,,
shui,group of palm trees swaying in the wind,,
shuo,swear jar half fill with coin with a label say swear jar on it,,
si,chimney soot,,
song,3d music note,,
sui,Palm tree bending wildly in the wind,,
ta,hard shell taco,,
chi,cheetah,,
zai,xylophone,,
le,lug nut for a car wheel,,
xue,sports shoe flying with wings,,
da,steel-tipped dart with flights,,
zhong,big round metal gong,,
guo,gorse plant (from new zealand),,
hao,howling wolf,,
ru,giant kangaroo,,
jiu,big glass of juice,,
de,"bottle of glue with the label ""de"" on the front",,
ting,spoon in a glass of water,,
tong,pair of gigantic tongs,,
tu,gigantic ballerina tutu,,
wan,magic wand with a star on the tip of it,,
qiu,cocktail sausage which is called a cherrio in new zealand,,
zhen,magical brass oil lamp with colourful smoke,,
yu,1980s Ford ute,,
wai,Farming Wire in a bundle,,
xiao,giant shower head,,
xin,giant apple with a pitchfork through it,,
xing,big kitchen sink,,
yi,big eel,,
yong,big fried egg with a bright yellow yolk,,
yuan,Dayuan coin,,
yao,large yowie chocolate,,
ye,miniature mechanical orrery of earth orbiting the sun,,
fu,single Foosmen figurine from foosball ,,
kuai,small choir singing,,
xia,burka headwear,,
cha,big piece of heavily charred timber with much of it covered in black charring,,
bi,big friendly bumble bee,,
ben,big delicious bun,,
biao,waiter doing a waiter's bow,,
biaoshi,waiter with a comically big shirt doing a waiter's bow,,
cuo,builders handsaw,,
dan,large dandelion,,
gou,big 'go' traffic sign,,
cai,neck tie with a sighing face,,
can,big soda pop can bursting,,
chao,spanish bull fighter waving 'ciao!',,
cheng,can of chunky vegetable soup with the word Chunky displayed on the label,,
chong,train through a hotel (chongqing),,
duo,pair of soda cans,,
fa,refracting  telescope,,
gong,big circular gong percussion instrument,,
suan,magnificent swan,,
wei,vintage balance scale,,
xian,large group of terracotta warriors,,
yin,yin-yang symbol,,
ying,yin and yang symbol,,
zu,zulu warrior,,
deng,cow dung with cow standing next to it,,
ai,giant eyeball,,
an,giant ant,,
bang,cartoon explosion emoji,,
fang,vampire fangs,,
jing,christmas bells,,
quan,big hazmat suit,,
zhi,big thick knit wool jersey,,
zhu,blade of grass covered in heavy dew,,
gui,uruguay soccer shirt,,
a,ardvark,,
ba,barbell bar,,
pa,colourful parrot,,
la,"tub of lard, with the lard overflowing the edges of the tub",,
ga,garbage can,,
ka,castle,,
ha,heart,,
za,zebra,,
sha,shark,,
sa,bottle of the japanese alcoholic drink sake,,
zha,empty glass jam jar,,
bai,binoculars,,
pai,pie,,
mai,singers microphone,,
dai,clothes dye in a squeezy bottle,,
gai,geyser,,
kai,kite,,
shai,shining spotlight,,
pan,frying pan,,
man,manatee animal,,
tan,tanning bed,,
lan,old fashioned lantern,,
kan,can opener labeled “kan”,,
han,honey bee hive hanging from tree,,
zan,zanzibar fan,,
san,sand dune,,
zhan,janitor holding a mop stading next to a bucket,,
chan,chandelier,,
shan,shovel,,
ran,ram (charging),,
ang,echoing cave mouth saying “ahng”,,
dang,dangling bell,,
tang,tangram pieces,,
nang,hanging net,,
lang,bell clapper (clang),,
gang,street gang (group),,
kang,kangaroo,,
hang,hanging noose / hook,,
zang,zapper cannon,,
cang,cannon,,
sang,singer holding long note,,
zhang,Jungle vine with a monkey and snake on it,,
rang,loud ringing phone,,
ao,howling mouth “ah-ow”,,
pao,cannon blast (pao!),,
tao,yin-yang tao symbol,,
nao,brain,,
lao,cowboy lasso,,
gao,foot with swelling and infection,,
kao,anthropomorphic cow,,
zao,alarm clock (early),,
cao,sour candy strap,,
sao,broom sweeping,,
zhao,jousting knight on a horse,,
rao,coiling snake (wrapping),,
e,neutral gray block “uh”,,
me,mirror (self),,
te,metal lever,,
ne,knot,,
ge,mechanical gear,,
he,hurling stick,,
ze,buzzing saw,,
zi,metal clothes zipper,,
ce,measuring ruler,,
se,silk fabric,,
she,snake,,
re,ancient castle ruin,,
ei,lightning bolt,,
pei,shield,,
dei,scoreboard point,,
nei,inside box,,
lei,fijian salusalu in a ring shape,,
gei,gift box,,
hei,3 straws of hay,,
zei,thief mask,,
zhei,bending stick,,
shei,spotlight (who?),,
en,thought bubble “uh-n”,,
pen,pen,,
nen,sticky glue,,
gen,toy cowboy gun,,
ken,knee joint,,
zen,meditating monk,,
cen,measuring mark,,
sen,forest,,
chen,dust cloud,,
eng,echo chamber,,
beng,rubber bung from a boat with the letter B on it,,
meng,rubber bung from a boat with the letter M on it,,
feng,disco ball representing Funk,,
teng,human tongue with piercing,,
leng,one lung,,
geng,a Gungan from Star wars.,,
keng,black and white panda in a martial arts pose,,
heng,noose,,
zeng,stacked layers,,
ceng,rubber bung from a boat with the letter C on it,,
seng,sunken shipwreck,,
zheng,Jungle vine with a monkey and snake on it,,
reng,wet t-shirt being wrung out to dry,,
er,pirate with a wooden leg and eye patch,,
pi,pie,,
di,dice,,
ni,knee,,
ya,yawning mouth,,
dia,dial knob,,
lia,leaning ladder,,
qia,card slot (card stuck halfway),,
yan,Oca Yam,,
pian,flat sheet / slice,,
lian,chain links,,
yang,yin-yang symbol but it is in square shape,,
niang,mother with baby,,
liang,Analog Twin Bell Alarm Clock,,
jiang,friendly giant with the letter G printed on his chest,,
qiang,nklet made of swiss cheese,,
piao,grand piano,,
miao,"cat ""meowing""",,
diao,Super owl with the letter D on his chest,,
niao,now sign,,
liao,leaf with a big prominant band-aid on it,,
qiao,slice of swiss cheese with a big prominant band-aid on it,,
bie,big bear,,
pie,pie slice,,
mie,erasing sponge,,
die,tombstone,,
tie,a massive single tear drop with a sad face on it,,
nie,pinching tweezers,,
lie,person lying down,,
qie,Chia seeds,,
bin,trash bin,,
pin,pushpin,,
min,british mini car,,
nin,bow / polite nod,,
lin,forest,,
jin,bottle Gin,,
qin,musical zither,,
ping,ping-pong paddle,,
ding,bell “ding!”,,
ning,calm still water,,
ling,ringing bell with the L on it,,
jiong,embarrassed face,,
qiong,rched cave,,
xiong,bear,,
miu,cat sliding (meow + motion),,
diu,throwing motion,,
liu,Male Lion head representing Leo the zodiac sign,,
xiu,embroidery needle,,
o,open round mouth “o”,,
bo,ball,,
po,pop bubble,,
mo,handlebar mustache,,
fo,buddha statue,,
dong,large temple bell,,
nong,farmer with hoe,,
long,dragon,,
kong,king kong ape,,
hong,red lantern,,
zong,wrapped rice dumpling (zòngzi),,
cong,"the sealed side of an envelope with the Text: FROM 1 Street, Place, State, Address written on it.",,
rong,soft fur / velvet fabric,,
ou,round mouth blowing “oh”,,
pou,pouch bag,,
mou,cow (moo),,
fou,buddha statue (fo/fou),,
dou,hand-shaped loaf of medieval bread,,
tou,head,,
zou,"sewing machine with the letter ""z"" on it.",,
cou,vinegar bottle,,
sou,search magnifying glass,,
zhou,a joey kangaroo in its pouch,,
chou,wrinkled ugly mask,,
rou,slab of meat,,
pu,poo emoji,,
mu,tree,,
nu,angry woman,,
gu,slime kids gooey toy,,
ku,fantastical cuckoo clock,,
hu,guess who?' board game,,
cu,vinegar splash,,
wa,baby crying “wah!”,,
gua,tube with Goo written on the side of it; goo is coming out of the opening,,
kua,crossed legs (wide stance),,
hua,Common daisy flower,,
zhua,claw grabbing,,
shua,scrubbing brush,,
guai,strange monster,,
huai,hula girl air freshener for car,,
zhuai,throwing motion (fling),,
chuai,kick sideways,,
shuai,slipping person / fall,,
duan,broken stick snapped in two,,
tuan,snowball lump,,
nuan,warm heating pad,,
luan,messy tangled wires,,
kuan,wide doorway,,
zuan,drill bit spinning,,
cuan,spark flame burst,,
zhuan,ant covered in an extremely heavy dew,,
chuan,antique wooden farmhouse butterchurn,,
shuan,latch bolt,,
ruan,soft sponge / jelly,,
guang,slime kids gooey toy,,
kuang,metal mine shaft,,
huang,jensen huang wearing a black leather jacket,,
zhuang,rmored warrior,,
chuang,chewing tobacco,,
shuang,twin ice blocks,,
dui,duvet,,
tui,leg pushing something away,,
kui,large helmet,,
hui,maori meeting hut,,
zui,drunk staggering person,,
cui,glass shattering,,
zhui,falling cone / drop attack,,
chui,large tall furry brown creature with ammunition bandolier,,
rui,sharp spear tip,,
dun,shield,,
tun,swallowing mouth,,
lun,wheel,,
gun,pistol gun,,
kun,sleepy trapped person,,
hun,wedding ring / marriage tie,,
zun,wine goblet,,
cun,measuring inch mark,,
sun,grandchild (small child),,
zhun,ccurate ruler / bullseye,,
chun,tuning peg on a guitar,,
shun,smooth flowing arrow,,
run,running water,,
wo,oriental wok,,
tuo,camel,,
nuo,sticky glue pulling,,
luo,net,,
kuo,wide open mouth / expansion,,
suo,lock,,
zhuo,heavy table,,
chuo,poking finger,,
ruo,weak bending plant,,
nü,woman symbol,,
lü,green jade,,
