hanzi,pinyin,english
爱,ài,love
爱好,ài hào,hobby
八,bā,eight
爸爸 / 爸,bà ba / bà,dad
吧,ba,Interjection particle
白,bái,white
白天,bái tiān,daytime
百,bǎi,hundred
班,bān,class
半,bàn,half
半年,bàn nián,half a year
半天,bàn tiān,half day
帮,bāng,help
帮忙,bāng máng,help
包,bāo,bag
包子,bāo zi,bun
杯,bēi,cup
杯子,bēi zi,cup
北,běi,north
北边,běi biān,North side
北京,běi jīng,Beijing
本,běn,measure word for books
本子,běn zi,notebook
比,bǐ,particle used for comparison
别,bié,don’t
别的,bié de,other
别人,bié rén,other people
病,bìng,disease
病人,bìng rén,patient
不大,bú dà,not big
不对,bú duì,wrong
不客气,bú kè qi,You’re welcome
不用,bú yòng,No need to
不,bù,No
菜,cài,dish
茶,chá,tea
差,chà,differ from / bad / short of
常,cháng,often
常常,cháng cháng,often
唱,chàng,sing
唱歌,chàng gē,sing
车,chē,car
车票,chē piào,ticket
车上,chē shang,in the car
车站,chē zhàn,station
吃,chī,eat
吃饭,chī fàn,have a meal
出,chū,out
出来,chū lái,come out
出去,chū qù,go out
穿,chuān,wear
床,chuáng,bed
次,cì,"measure word for times, frequency"
从,cóng,from
错,cuò,wrong
打,dǎ,hit / take
打车,dǎ chē,take a taxi
打电话,dǎ diàn huà,make a phone call
打开,dǎ kāi,turn on
打球,dǎ qiú,play ball
大,dà,large / big
大学,dà xué,university
大学生,dà xué shēng,university student
到,dào,arrive
得到,dé dào,get
地,de,"Structural Particle: most often used before a verb
or an adjective"
的,de,Structural Particle: most often used for modifying nouns
等,děng,wait
地,dì,ground
地点,dì diǎn,location
地方,dì fang,place
地上,dì shàng,on the ground
地图,dì tú,Map
弟弟 / 弟,dì di / dì,younger brother
第...,dì…,"Prefix for ordinal numbers, 
e.g. first（第一 dì yī）, second（第二 dì èr ） etc"
点,diǎn,point / dot / o'clock
电,diàn,electricity
电话,diàn huà,phone
电脑,diàn nǎo,computer
电视,diàn shì,television
电视机,diàn shì jī,"Television
lit. ""television + machine"""
电影,diànyǐng,movie
电影院,diàn yǐng yuàn,cinema / movie theater
东,dōng,east
东边,dōng bian,east side
东西,dōng xi,thing
动,dòng,move
动作,dòng zuò,action
都,dōu,all
读,dú,read
读书,dú shū,reading / study
对,duì,right
对不起,duì bu qǐ,I'm sorry. / sorry
多,duō,many / much / more
多少,duō shao,how much
饿,è,hungry
儿子,ér zi,son
二,èr,two
饭,fàn,rice / meal
饭店,fàndiàn,restaurant
房间,fángjiān,room
房子,fáng zi,house / building
放,fàng,to put / to release / to let go
放假,fàng jià,holiday / have a holiday
放学,fàng xué,finish school / after school
飞,fēi,fly
飞机,fēijī,plane
非常,fēi cháng,very
分,fēn,"minute / point / part
measure word"
风,fēng,wind
干,gān,dry
干净,gānjìng,clean
干,gàn,do
干什么,gàn shén me,"What to do / 
What are you doing?"
高,gāo,high
高兴,gāo xìng,happy
告诉,gào su,tell
哥哥 / 哥,gē ge / gē,elder brother
歌,gē,song
个,gè,"measure word
(classifier for people or objects in general)"
给,gěi,give
跟,gēn,with
工人,gōng rén,worker
工作,gōng zuò,work
关,guān,shut / close / turn off
关上,guān shang,close / turn off
贵,guì,noble / expensive
国,guó,country / state / nation
国家,guó jiā,country
国外,guó wài,foreign / abroad
过,guò,pass
还,hái,also / still / yet
还是,hái shi,still / or
还有,hái yǒu,also / in addition / besides
孩子,háizi,children
汉语,hànyǔ,Mandarin Chinese (language)
汉字,hàn zì,Chinese character
好,hǎo,good
好吃,hǎo chī,tasty / delicious
好看,hǎo kàn,good looking
好听,hǎo tīng,pleasant to hear
好玩儿,hǎo wánr,fun / interesting
号,hào,number / date
喝,hē,drink
和,hé,and
很,hěn,very
后,hòu,back / behind / after / later
后边,hòu bian,behind / back
后天,hòu tiān,the day after tomorrow
花,huā,flower
话,huà,word / words
坏,huài,bad
还,huán,return / pay back
回,huí,go back / return
回答,huídá,answer
回到,huí dào,back to / return to
回家,huí jiā,go home / return home
回来,huí lái,come back / return
回去,huí qù,go back
会,huì,can; be able to
火车,huǒ chē,train
机场,jīchǎng,airport
机票,jī piào,air ticket
鸡蛋,jī dàn,egg
几,jǐ,several / how many / how much
记,jì,to record / to note
记得,jì de,remember
记住,jì zhù,remember / keep in mind
家,jiā,home
家里,jiā lǐ,in the home / at home
家人,jiā rén,family / family member
间,jiān,"between /
measure word for rooms"
见,jiàn,see / meet
见面,jiàn miàn,to meet / to see each other
教,jiāo,teach
叫,jiào,call / to be called
教学楼,jiào xué lóu,teaching building
姐姐 / 姐,jiě jie / jiě,elder sister
介绍,jiè shào,introduce
今年,jīn nián,this year
今天,jīn tiān,today
进,jìn,enter
进来,jìn lái,come in
进去,jìn qù,go in
九,jiǔ,nine
就,jiù,as soon as / right away / then
觉得,jué de,think / feel
开,kāi,open
开车,kāi chē,drive / drive a car
开会,kāi huì,have a meeting
开玩笑,kāi wán xiào,make fun of / joke
看,kàn,see
看病,kàn bìng,see a doctor
看到,kàn dào,see
看见,kànjiàn,see / catch sight of
考,kǎo,test / examine
考试,kǎo shì,examination
渴,kě,thirsty
课,kè,course
课本,kè běn,textbook
课文,kè wén,text
口,kǒu,mouth
块,kuài,"piece /
classifier: for money (yuan)"
快,kuài,fast
来,lái,come
来到,lái dào,come; arrive
老,lǎo,old / aged
老人,lǎo rén,old people / the elderly
老师,lǎo shī,teacher
了,le,"particle (indicates the completion of an action or a change of state, etc)"
累,lèi,tired
冷,lěng,cold
里,lǐ,in
里边,lǐ biān,inside
两,liǎng,two
零,líng,zero
六,liù,six
楼,lóu,floor
楼上,lóu shàng,upstairs
楼下,lóu xià,downstairs
路,lù,road
路口,lù kǒu,intersection / crossing
路上,lù shang,on the road
妈妈 / 妈,mā ma / mā,mom / mother
马路,mǎ lù,road / street
马上,mǎ shàng,right away / immediately
吗,ma,question particle
买,mǎi,buy
慢,màn,slow
忙,máng,busy
毛,máo,"a fractional unit of money in China
1 毛 = 10 cents"
没,méi,not / didn't
没关系,méi guān xi,It doesn't matter
没什么,méi shén me,It’s nothing
没事儿,méi shìr,It's okay / It's all rigtht.
没有,méi yǒu,to not have / there is no
妹妹 / 妹,mèi mei / mèi,younger sister
门,mén,door
门口,mén kǒu,doorway
门票,mén piào,tickets
们,men,"plural marker
e.g. 朋友们 péng you men (friends)，老师们 lǎo shī men (teachers)"
米饭,mǐ fàn,cooked rice
面包,miàn bāo,bread
面条儿,miàn tiáor,noodles
名字,míng zi,name
明白,míng bai,clear / to be clear /understand
明年,míng nián,next year
明天,míng tiān,tomorrow
拿,ná,take
哪,nǎ,which
哪里,nǎ lǐ,where
哪儿,nǎr,where
哪些,nǎ xiē,where (ones)
那,nà,that
那边,nà bian,over there
那里,nà lǐ,there
那儿,nàr,there
那些,nà xiē,those
奶,nǎi,milk
奶奶,nǎi nai,grandma
男,nán,male
男孩儿,nán háir,boy
男朋友,nán péng you,boyfriend
男人,nán ren,man
男生,nán shēng,boy
南,nán,south
南边,nán bian,south side
难,nán,hard / difficult
呢,ne,question particle
能,néng,can
你,nǐ,you
你们,nǐ men,you (plural)
年,nián,year
您,nín,you (formal)
牛奶,niú nǎi,milk
女,nǚ,female
女儿,nǚ’ér,daughter
女孩儿,nǚ háir,girl
女朋友,nǚ péng you,girlfriend
女人,nǚ ren,woman
女生,nǚ shēng,girl
旁边,páng biān,beside / next to
跑,pǎo,run
朋友,péng you,friend
票,piào,ticket
七,qī,seven
起,qǐ,get up / start / rise
起床,qǐ chuáng,get out of bed
起来,qǐ lái,get up
汽车,qì chē,car
前,qián,front
前边,qián bian,front side / in front of
前天,qián tiān,the day before yesterday
钱,qián,money
钱包,qián bāo,wallet
请,qǐng,please
请假,qǐng jià,ask for leave
请进,qǐng jìn,please come in
请问,qǐng wèn,Excuse me / May I ask...?
请坐,qǐng zuò,please have a seat
球,qiú,ball
去,qù,go
去年,qù nián,last year
热,rè,heat / hot
人,rén,people / person
认识,rèn shi,know
认真,rèn zhēn,serious / to take seriously
日,rì,sun / day / date
日期,rì qī,date
肉,ròu,meat
三,sān,Three
山,shān,mountain
商场,shāng chǎng,shopping mall
商店,shāng diàn,shop
